"","x"
"1",0
"2",1
"3",0.638718709043724
"4",0.231008982256356
"5",0.0786814026770379
"6",0.02663635041896
"7",0.00928752171554485
"8",0.00315520405009684
"9",0.00209627299294396
"10",0.00454707096206917
